"","Date","외환보유액(억달러,%)"
"202","2016
10월","3,752"
"203","2016
11월","3,720"
"204","2016
12월","3,711"
"205","2017
01월","3,740"
"206","2017
02월","3,739"
"207","2017
03월","3,753"
"208","2017
04월","3,766"
"209","2017
05월","3,785"
"210","2017
06월","3,806"
"211","2017
07월","3,838"
"212","2017
08월","3,848"
"213","2017
09월","3,847"
"214","2017
10월","3,845"
"215","2017
11월","3,873"
"216","2017
12월","3,893"
"217","2018
01월","3,957"
"218","2018
02월","3,948"
"219","2018
03월","3,968"
"220","2018
04월","3,984"
"221","2018
05월","3,990"
"222","2018
06월","4,003"
"223","2018
07월","4,025"
"224","2018
08월","4,011"
"225","2018
09월","4,030"
"226","2018
10월","4,028"
"227","2018
11월","4,030"
"228","2018
12월","4,037"
"229","2019
01월","4,055"
"230","2019
02월","4,047"
"231","2019
03월","4,053"
"232","2019
04월","4,040"
"233","2019
05월","4,020"
"234","2019
06월","4,031"
"235","2019
07월","4,031"
"236","2019
08월","4,015"
"237","2019
09월","4,033"
"238","2019
10월","4,063"
"239","2019
11월","4,075"
"240","2019
12월","4,088"
"241","2020
01월","4,097"
"242","2020
02월","4,092"
"243","2020
03월","4,002"
"244","2020
04월","4,040"
"245","2020
05월","4,073"
"246","2020
06월","4,108"
"247","2020
07월","4,165"
"248","2020
08월","4,190"
"249","2020
09월","4,206"
"250",NA,"외환보유액"
"251","2020
10월","4,265"
"252","2020
11월","4,364"
"253","2020
12월","4,431"
"254","2021
01월","4,427"
"255","2021
02월","4,476"
"256","2021
03월","4,461"
"257","2021
04월","4,523"
"258","2021
05월","4,565"
"259","2021
06월","4,541"
"260","2021
07월","4,587"
"261","2021
08월","4,639"
"262","2021
09월","4,640"
"263","2021
10월","4,692"
"264","2021
11월","4,639"
"265","2021
12월","4,631"
"266","2022
01월","4,615"
"267","2022
02월","4,618"
"268","2022
03월","4,578"
"269","2022
04월","4,493"
