"SUBJECT","LOCATION","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"LOLITOAA","KOR","M","2007-12","IDX","0",,100.1881,
"LOLITOAA","KOR","M","2008-01","IDX","0",,99.66741,
"LOLITOAA","KOR","M","2008-02","IDX","0",,99.13461,
"LOLITOAA","KOR","M","2008-03","IDX","0",,98.6207,
"LOLITOAA","KOR","M","2008-04","IDX","0",,98.13996,
"LOLITOAA","KOR","M","2008-05","IDX","0",,97.69785,
"LOLITOAA","KOR","M","2008-06","IDX","0",,97.29977,
"LOLITOAA","KOR","M","2008-07","IDX","0",,96.97797,
"LOLITOAA","KOR","M","2008-08","IDX","0",,96.73866,
"LOLITOAA","KOR","M","2008-09","IDX","0",,96.57893,
"LOLITOAA","KOR","M","2008-10","IDX","0",,96.53442,
"LOLITOAA","KOR","M","2008-11","IDX","0",,96.68316,
"LOLITOAA","KOR","M","2008-12","IDX","0",,97.07565,
"LOLITOAA","KOR","M","2009-01","IDX","0",,97.70613,
"LOLITOAA","KOR","M","2009-02","IDX","0",,98.51286,
"LOLITOAA","KOR","M","2009-03","IDX","0",,99.35973,
"LOLITOAA","KOR","M","2009-04","IDX","0",,100.1694,
"LOLITOAA","KOR","M","2009-05","IDX","0",,100.8811,
"LOLITOAA","KOR","M","2009-06","IDX","0",,101.4882,
"LOLITOAA","KOR","M","2009-07","IDX","0",,102.0003,
"LOLITOAA","KOR","M","2009-08","IDX","0",,102.4048,
"LOLITOAA","KOR","M","2009-09","IDX","0",,102.6826,
"LOLITOAA","KOR","M","2009-10","IDX","0",,102.8227,
"LOLITOAA","KOR","M","2009-11","IDX","0",,102.8489,
"LOLITOAA","KOR","M","2009-12","IDX","0",,102.7829,
"LOLITOAA","KOR","M","2010-01","IDX","0",,102.6446,
"LOLITOAA","KOR","M","2010-02","IDX","0",,102.4652,
"LOLITOAA","KOR","M","2010-03","IDX","0",,102.2764,
"LOLITOAA","KOR","M","2010-04","IDX","0",,102.0887,
"LOLITOAA","KOR","M","2010-05","IDX","0",,101.9,
"LOLITOAA","KOR","M","2010-06","IDX","0",,101.7036,
"LOLITOAA","KOR","M","2010-07","IDX","0",,101.4927,
"LOLITOAA","KOR","M","2010-08","IDX","0",,101.2784,
"LOLITOAA","KOR","M","2010-09","IDX","0",,101.0778,
"LOLITOAA","KOR","M","2010-10","IDX","0",,100.9214,
"LOLITOAA","KOR","M","2010-11","IDX","0",,100.838,
"LOLITOAA","KOR","M","2010-12","IDX","0",,100.8216,
"LOLITOAA","KOR","M","2011-01","IDX","0",,100.8389,
"LOLITOAA","KOR","M","2011-02","IDX","0",,100.8178,
"LOLITOAA","KOR","M","2011-03","IDX","0",,100.7093,
"LOLITOAA","KOR","M","2011-04","IDX","0",,100.5179,
"LOLITOAA","KOR","M","2011-05","IDX","0",,100.2547,
"LOLITOAA","KOR","M","2011-06","IDX","0",,99.94382,
"LOLITOAA","KOR","M","2011-07","IDX","0",,99.61504,
"LOLITOAA","KOR","M","2011-08","IDX","0",,99.27899,
"LOLITOAA","KOR","M","2011-09","IDX","0",,98.96187,
"LOLITOAA","KOR","M","2011-10","IDX","0",,98.68668,
"LOLITOAA","KOR","M","2011-11","IDX","0",,98.48441,
"LOLITOAA","KOR","M","2011-12","IDX","0",,98.3932,
"LOLITOAA","KOR","M","2012-01","IDX","0",,98.41383,
"LOLITOAA","KOR","M","2012-02","IDX","0",,98.51215,
"LOLITOAA","KOR","M","2012-03","IDX","0",,98.63365,
"LOLITOAA","KOR","M","2012-04","IDX","0",,98.74795,
"LOLITOAA","KOR","M","2012-05","IDX","0",,98.82915,
"LOLITOAA","KOR","M","2012-06","IDX","0",,98.87394,
"LOLITOAA","KOR","M","2012-07","IDX","0",,98.88805,
"LOLITOAA","KOR","M","2012-08","IDX","0",,98.90054,
"LOLITOAA","KOR","M","2012-09","IDX","0",,98.92895,
"LOLITOAA","KOR","M","2012-10","IDX","0",,98.96936,
"LOLITOAA","KOR","M","2012-11","IDX","0",,99.02409,
"LOLITOAA","KOR","M","2012-12","IDX","0",,99.10219,
"LOLITOAA","KOR","M","2013-01","IDX","0",,99.19582,
"LOLITOAA","KOR","M","2013-02","IDX","0",,99.31612,
"LOLITOAA","KOR","M","2013-03","IDX","0",,99.46874,
"LOLITOAA","KOR","M","2013-04","IDX","0",,99.61792,
"LOLITOAA","KOR","M","2013-05","IDX","0",,99.73315,
"LOLITOAA","KOR","M","2013-06","IDX","0",,99.7951,
"LOLITOAA","KOR","M","2013-07","IDX","0",,99.79958,
"LOLITOAA","KOR","M","2013-08","IDX","0",,99.77156,
"LOLITOAA","KOR","M","2013-09","IDX","0",,99.72223,
"LOLITOAA","KOR","M","2013-10","IDX","0",,99.67814,
"LOLITOAA","KOR","M","2013-11","IDX","0",,99.65122,
"LOLITOAA","KOR","M","2013-12","IDX","0",,99.64307,
"LOLITOAA","KOR","M","2014-01","IDX","0",,99.64109,
"LOLITOAA","KOR","M","2014-02","IDX","0",,99.62833,
"LOLITOAA","KOR","M","2014-03","IDX","0",,99.59996,
"LOLITOAA","KOR","M","2014-04","IDX","0",,99.55865,
"LOLITOAA","KOR","M","2014-05","IDX","0",,99.51785,
"LOLITOAA","KOR","M","2014-06","IDX","0",,99.50198,
"LOLITOAA","KOR","M","2014-07","IDX","0",,99.53526,
"LOLITOAA","KOR","M","2014-08","IDX","0",,99.6276,
"LOLITOAA","KOR","M","2014-09","IDX","0",,99.77055,
"LOLITOAA","KOR","M","2014-10","IDX","0",,99.95097,
"LOLITOAA","KOR","M","2014-11","IDX","0",,100.1481,
"LOLITOAA","KOR","M","2014-12","IDX","0",,100.3209,
"LOLITOAA","KOR","M","2015-01","IDX","0",,100.4381,
"LOLITOAA","KOR","M","2015-02","IDX","0",,100.5048,
"LOLITOAA","KOR","M","2015-03","IDX","0",,100.5311,
"LOLITOAA","KOR","M","2015-04","IDX","0",,100.5261,
"LOLITOAA","KOR","M","2015-05","IDX","0",,100.4993,
"LOLITOAA","KOR","M","2015-06","IDX","0",,100.4671,
"LOLITOAA","KOR","M","2015-07","IDX","0",,100.4598,
"LOLITOAA","KOR","M","2015-08","IDX","0",,100.4745,
"LOLITOAA","KOR","M","2015-09","IDX","0",,100.5067,
"LOLITOAA","KOR","M","2015-10","IDX","0",,100.5325,
"LOLITOAA","KOR","M","2015-11","IDX","0",,100.5356,
"LOLITOAA","KOR","M","2015-12","IDX","0",,100.5112,
"LOLITOAA","KOR","M","2016-01","IDX","0",,100.4777,
"LOLITOAA","KOR","M","2016-02","IDX","0",,100.4614,
"LOLITOAA","KOR","M","2016-03","IDX","0",,100.4761,
"LOLITOAA","KOR","M","2016-04","IDX","0",,100.5208,
"LOLITOAA","KOR","M","2016-05","IDX","0",,100.595,
"LOLITOAA","KOR","M","2016-06","IDX","0",,100.7026,
"LOLITOAA","KOR","M","2016-07","IDX","0",,100.8415,
"LOLITOAA","KOR","M","2016-08","IDX","0",,100.9997,
"LOLITOAA","KOR","M","2016-09","IDX","0",,101.1517,
"LOLITOAA","KOR","M","2016-10","IDX","0",,101.2823,
"LOLITOAA","KOR","M","2016-11","IDX","0",,101.4045,
"LOLITOAA","KOR","M","2016-12","IDX","0",,101.5268,
"LOLITOAA","KOR","M","2017-01","IDX","0",,101.6436,
"LOLITOAA","KOR","M","2017-02","IDX","0",,101.7402,
"LOLITOAA","KOR","M","2017-03","IDX","0",,101.801,
"LOLITOAA","KOR","M","2017-04","IDX","0",,101.8204,
"LOLITOAA","KOR","M","2017-05","IDX","0",,101.7977,
"LOLITOAA","KOR","M","2017-06","IDX","0",,101.7452,
"LOLITOAA","KOR","M","2017-07","IDX","0",,101.6617,
"LOLITOAA","KOR","M","2017-08","IDX","0",,101.5472,
"LOLITOAA","KOR","M","2017-09","IDX","0",,101.4011,
"LOLITOAA","KOR","M","2017-10","IDX","0",,101.2229,
"LOLITOAA","KOR","M","2017-11","IDX","0",,101.0061,
"LOLITOAA","KOR","M","2017-12","IDX","0",,100.7644,
"LOLITOAA","KOR","M","2018-01","IDX","0",,100.5387,
"LOLITOAA","KOR","M","2018-02","IDX","0",,100.3444,
"LOLITOAA","KOR","M","2018-03","IDX","0",,100.1778,
"LOLITOAA","KOR","M","2018-04","IDX","0",,100.0459,
"LOLITOAA","KOR","M","2018-05","IDX","0",,99.93706,
"LOLITOAA","KOR","M","2018-06","IDX","0",,99.83688,
"LOLITOAA","KOR","M","2018-07","IDX","0",,99.75288,
"LOLITOAA","KOR","M","2018-08","IDX","0",,99.68052,
"LOLITOAA","KOR","M","2018-09","IDX","0",,99.60535,
"LOLITOAA","KOR","M","2018-10","IDX","0",,99.52036,
"LOLITOAA","KOR","M","2018-11","IDX","0",,99.43235,
"LOLITOAA","KOR","M","2018-12","IDX","0",,99.34715,
"LOLITOAA","KOR","M","2019-01","IDX","0",,99.26042,
"LOLITOAA","KOR","M","2019-02","IDX","0",,99.16803,
"LOLITOAA","KOR","M","2019-03","IDX","0",,99.05871,
"LOLITOAA","KOR","M","2019-04","IDX","0",,98.93271,
"LOLITOAA","KOR","M","2019-05","IDX","0",,98.81268,
"LOLITOAA","KOR","M","2019-06","IDX","0",,98.71584,
"LOLITOAA","KOR","M","2019-07","IDX","0",,98.63933,
"LOLITOAA","KOR","M","2019-08","IDX","0",,98.59964,
"LOLITOAA","KOR","M","2019-09","IDX","0",,98.60482,
"LOLITOAA","KOR","M","2019-10","IDX","0",,98.66209,
"LOLITOAA","KOR","M","2019-11","IDX","0",,98.75225,
"LOLITOAA","KOR","M","2019-12","IDX","0",,98.83833,
"LOLITOAA","KOR","M","2020-01","IDX","0",,98.88432,
"LOLITOAA","KOR","M","2020-02","IDX","0",,98.89029,
"LOLITOAA","KOR","M","2020-03","IDX","0",,98.87843,
"LOLITOAA","KOR","M","2020-04","IDX","0",,98.89505,
"LOLITOAA","KOR","M","2020-05","IDX","0",,98.96783,
"LOLITOAA","KOR","M","2020-06","IDX","0",,99.13239,
"LOLITOAA","KOR","M","2020-07","IDX","0",,99.38464,
"LOLITOAA","KOR","M","2020-08","IDX","0",,99.6918,
"LOLITOAA","KOR","M","2020-09","IDX","0",,100.0192,
"LOLITOAA","KOR","M","2020-10","IDX","0",,100.3338,
"LOLITOAA","KOR","M","2020-11","IDX","0",,100.6234,
"LOLITOAA","KOR","M","2020-12","IDX","0",,100.8893,
"LOLITOAA","KOR","M","2021-01","IDX","0",,101.1523,
"LOLITOAA","KOR","M","2021-02","IDX","0",,101.3998,
