"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2004년 5월","36.58","35.22","38.90","34.95","887.18K","6.09%"
"2004년 4월","34.48","32.23","35.00","29.95","884.49K","9.43%"
"2004년 3월","31.51","32.33","33.82","31.15","932.63K","-2.23%"
"2004년 2월","32.23","29.00","32.35","28.44","820.49K","10.45%"
"2004년 1월","29.18","29.57","32.12","28.81","890.47K","-3.28%"
"2003년 12월","30.17","28.43","31.15","27.76","761.14K","6.05%"
"2003년 11월","28.45","27.98","30.52","26.97","856.73K","2.71%"
"2003년 10월","27.70","27.58","31.50","26.75","901.09K","0.33%"
"2003년 9월","27.61","29.45","29.55","25.05","889.88K","-6.38%"
"2003년 8월","29.49","28.45","30.59","28.02","752.34K","3.95%"
"2003년 7월","28.37","28.20","29.60","27.21","847.02K","0.14%"
"2003년 6월","28.33","26.70","28.52","25.80","806.24K","7.64%"
"2003년 5월","26.32","24.00","27.01","23.34","824.02K","11.15%"
"2003년 4월","23.68","27.56","27.56","23.05","780.43K","-12.88%"
"2003년 3월","27.18","32.45","34.55","24.00","821.99K","-17.11%"
"2003년 2월","32.79","30.89","33.94","30.10","765.23K","5.43%"
"2003년 1월","31.10","29.30","31.80","27.85","837.76K","8.51%"
"2002년 12월","28.66","25.35","31.02","25.12","675.64K","13.91%"
"2002년 11월","25.16","25.77","26.05","22.56","874.18K","-2.18%"
"2002년 10월","25.72","28.85","29.39","25.05","810.23K","-10.54%"
"2002년 9월","28.75","27.40","29.88","26.45","678.86K","4.66%"
"2002년 8월","27.47","25.35","27.92","24.65","698.02K","7.98%"
"2002년 7월","25.44","25.50","26.66","24.65","751.45K","-0.55%"
"2002년 6월","25.58","24.10","25.85","23.22","643.78K","4.62%"
"2002년 5월","24.45","26.00","27.35","23.93","824.16K","-7.63%"
"2002년 4월","26.47","26.36","28.15","23.81","817.43K","2.12%"
"2002년 3월","25.92","21.35","25.95","21.20","695.11K","21.52%"
"2002년 2월","21.33","19.36","21.71","18.80","714.26K","11.21%"
"2002년 1월","19.18","19.46","22.40","18.23","705.66K","-3.62%"
"2001년 12월","19.90","18.92","20.90","17.70","533.51K","3.97%"
"2001년 11월","19.14","20.35","21.65","16.65","769.36K","-6.04%"
"2001년 10월","20.37","23.20","23.25","20.05","694.94K","-12.42%"
"2001년 9월","23.26","26.50","31.05","20.70","879.08K","-11.93%"
"2001년 8월","26.41","25.09","26.79","24.50","610.23K","6.97%"
"2001년 7월","24.69","26.30","26.90","23.97","647.02K","-5.33%"
"2001년 6월","26.08","29.27","30.00","24.91","659.46K","-11.11%"
"2001년 5월","29.34","27.62","29.68","27.01","585.37K","5.20%"
"2001년 4월","27.89","24.85","28.48","24.10","602.75K","12.73%"
"2001년 3월","24.74","25.70","27.25","23.75","620.29K","-3.25%"
"2001년 2월","25.57","26.55","30.36","25.50","527.58K","-4.09%"
"2001년 1월","26.66","24.40","27.48","24.12","668.16K","11.69%"
