"LOCATION","TIME","Value"
"G-7","2017-10",100.7749
"G-7","2017-11",100.8275
"G-7","2017-12",100.8638
"G-7","2018-01",100.8862
"G-7","2018-02",100.898
"G-7","2018-03",100.8867
"G-7","2018-04",100.8503
"G-7","2018-05",100.7913
"G-7","2018-06",100.7074
"G-7","2018-07",100.5995
"G-7","2018-08",100.4689
"G-7","2018-09",100.31
"G-7","2018-10",100.1293
"G-7","2018-11",99.94391
"G-7","2018-12",99.77145
"G-7","2019-01",99.62855
"G-7","2019-02",99.51942
"G-7","2019-03",99.43372
"G-7","2019-04",99.34791
"G-7","2019-05",99.25326
"G-7","2019-06",99.14866
"G-7","2019-07",99.04498
"G-7","2019-08",98.95536
"G-7","2019-09",98.90009
"G-7","2019-10",98.87627
"G-7","2019-11",98.87109
"G-7","2019-12",98.86623
"G-7","2020-01",98.8443
"G-7","2020-02",98.7962
"G-7","2020-03",96.5838
"G-7","2020-04",92.02039
"G-7","2020-05",93.73388
"G-7","2020-06",96.19623
"G-7","2020-07",97.62666
"G-7","2020-08",98.16904
"G-7","2020-09",98.38755
"G-7","2020-10",98.60593
"G-7","2020-11",98.85996
"G-7","2020-12",99.25264
"G-7","2021-01",99.53814
"G-7","2021-02",99.89667
"G-7","2021-03",100.2709
"G-7","2021-04",100.5415
"G-7","2021-05",100.6932
"G-7","2021-06",100.7695
"G-7","2021-07",100.7654
"G-7","2021-08",100.6995
"G-7","2021-09",100.6128
"G-7","2021-10",100.524
"G-7","2021-11",100.4432
"G-7","2021-12",100.3677
"G-7","2022-01",100.2946
"G-7","2022-02",100.2271
"G-7","2022-03",100.1705
"G-7","2022-04",100.1361
