"날짜","종가","오픈","고가","저가","변동 %"
"2013년 8월","2.789","2.584","2.936","2.552","7.80%"
"2013년 7월","2.588","2.495","2.755","2.415","4.02%"
"2013년 6월","2.487","2.157","2.667","1.999","16.69%"
"2013년 5월","2.132","1.668","2.235","1.614","27.39%"
"2013년 4월","1.673","1.875","1.888","1.638","-9.65%"
"2013년 3월","1.852","1.877","2.087","1.827","-1.53%"
"2013년 2월","1.881","1.990","2.064","1.836","-5.24%"
"2013년 1월","1.985","1.757","2.037","1.757","13.00%"
"2012년 12월","1.757","1.618","1.847","1.564","8.67%"
"2012년 11월","1.616","1.702","1.781","1.556","-4.61%"
"2012년 10월","1.694","1.623","1.856","1.599","3.73%"
"2012년 9월","1.633","1.552","1.894","1.542","5.50%"
"2012년 8월","1.548","1.468","1.863","1.446","5.36%"
"2012년 7월","1.470","1.652","1.660","1.381","-10.56%"
"2012년 6월","1.643","1.570","1.728","1.442","5.14%"
"2012년 5월","1.563","1.919","1.966","1.533","-18.56%"
"2012년 4월","1.919","2.237","2.308","1.884","-13.33%"
"2012년 3월","2.214","1.983","2.399","1.931","12.17%"
"2012년 2월","1.974","1.797","2.080","1.797","9.95%"
"2012년 1월","1.795","1.876","2.094","1.792","-4.31%"
"2011년 12월","1.876","2.079","2.167","1.798","-9.43%"
"2011년 11월","2.072","2.135","2.153","1.872","-2.10%"
"2011년 10월","2.116","1.919","2.420","1.717","10.37%"
"2011년 9월","1.917","2.222","2.278","1.674","-14.18%"
"2011년 8월","2.234","2.820","2.858","1.976","-20.00%"
"2011년 7월","2.793","3.162","3.223","2.773","-11.63%"
"2011년 6월","3.160","3.070","3.221","2.842","3.31%"
"2011년 5월","3.059","3.297","3.323","3.041","-7.02%"
"2011년 4월","3.290","3.476","3.619","3.283","-5.19%"
"2011년 3월","3.470","3.440","3.598","3.143","1.40%"
"2011년 2월","3.422","3.372","3.770","3.372","1.42%"
"2011년 1월","3.374","3.305","3.497","3.253","2.62%"
"2010년 12월","3.288","2.809","3.568","2.797","17.55%"
"2010년 11월","2.797","2.621","2.967","2.458","7.45%"
"2010년 10월","2.603","2.515","2.731","2.334","3.62%"
"2010년 9월","2.512","2.482","2.849","2.449","1.70%"
"2010년 8월","2.470","2.925","2.972","2.419","-14.97%"
"2010년 7월","2.905","2.942","3.132","2.855","-1.02%"
"2010년 6월","2.935","3.300","3.427","2.928","-11.14%"
"2010년 5월","3.303","3.663","3.713","3.064","-9.73%"
"2010년 4월","3.659","3.839","4.013","3.655","-4.54%"
"2010년 3월","3.833","3.625","3.928","3.593","5.91%"
"2010년 2월","3.619","3.606","3.828","3.537","0.86%"
"2010년 1월","3.588","3.858","3.904","3.563","-6.49%"
"2009년 12월","3.837","3.207","3.918","3.196","19.98%"
"2009년 11월","3.198","3.396","3.563","3.154","-5.61%"
"2009년 10월","3.388","3.318","3.581","3.106","2.51%"
"2009년 9월","3.305","3.403","3.534","3.272","-2.82%"
"2009년 8월","3.401","3.512","3.893","3.374","-2.33%"
"2009년 7월","3.482","3.527","3.766","3.261","-1.55%"
"2009년 6월","3.537","3.492","4.008","3.454","2.20%"
"2009년 5월","3.461","3.115","3.754","3.072","10.97%"
"2009년 4월","3.119","2.668","3.166","2.650","16.90%"
"2009년 3월","2.668","3.020","3.045","2.462","-11.68%"
"2009년 2월","3.021","2.851","3.058","2.619","5.96%"
"2009년 1월","2.851","2.250","2.894","2.148","28.42%"
"2008년 12월","2.220","2.960","2.962","2.040","-23.97%"
"2008년 11월","2.920","3.959","3.984","2.908","-26.45%"
"2008년 10월","3.970","3.748","4.110","3.402","3.68%"
"2008년 9월","3.829","3.827","3.909","3.251","0.10%"
"2008년 8월","3.825","3.958","4.094","3.763","-3.36%"
"2008년 7월","3.958","3.967","4.178","3.771","-0.43%"
"2008년 6월","3.975","4.058","4.288","3.858","-2.26%"
"2008년 5월","4.067","3.740","4.141","3.683","8.92%"
"2008년 4월","3.734","3.734","3.734","3.734","9.15%"
"2008년 3월","3.421","3.421","3.421","3.421","-2.78%"
"2008년 2월","3.519","3.519","3.519","3.519","-2.17%"
"2008년 1월","3.597","3.597","3.597","3.597","-10.86%"
"2007년 12월","4.035","4.035","4.035","4.035","2.18%"
"2007년 11월","3.949","3.949","3.949","3.949","-11.71%"
"2007년 10월","4.473","4.473","4.473","4.473","-2.63%"
"2007년 9월","4.594","4.594","4.594","4.594","1.48%"
"2007년 8월","4.527","4.527","4.527","4.527","-4.35%"
"2007년 7월","4.733","4.733","4.733","4.733","-5.85%"
"2007년 6월","5.027","5.027","5.027","5.027","2.76%"
"2007년 5월","4.892","4.892","4.892","4.892","5.70%"
"2007년 4월","4.628","4.628","4.628","4.628","-0.43%"
"2007년 3월","4.648","4.648","4.648","4.648","1.55%"
"2007년 2월","4.577","4.577","4.577","4.577","-4.92%"
"2007년 1월","4.814","4.814","4.814","4.814","2.43%"
"2006년 12월","4.700","4.700","4.700","4.700","5.33%"
"2006년 11월","4.462","4.462","4.462","4.462","-3.08%"
"2006년 10월","4.604","4.604","4.604","4.604","-0.63%"
"2006년 9월","4.633","4.633","4.633","4.633","-2.09%"
"2006년 8월","4.732","4.732","4.732","4.732","-5.13%"
"2006년 7월","4.988","4.988","4.988","4.988","-3.05%"
"2006년 6월","5.145","5.145","5.145","5.145","0.43%"
"2006년 5월","5.123","5.123","5.123","5.123","1.31%"
"2006년 4월","5.057","5.057","5.057","5.057","4.20%"
"2006년 3월","4.853","4.853","4.853","4.853","6.50%"
"2006년 2월","4.557","4.557","4.557","4.557","0.84%"
"2006년 1월","4.519","4.519","4.519","4.519","2.82%"
"2005년 12월","4.395","4.395","4.395","4.395","-2.12%"
"2005년 11월","4.490","4.490","4.490","4.490","-1.47%"
"2005년 10월","4.557","4.557","4.557","4.557","5.19%"
"2005년 9월","4.332","4.332","4.332","4.332","7.92%"
"2005년 8월","4.014","4.014","4.014","4.014","-6.26%"
"2005년 7월","4.282","4.282","4.282","4.282","9.21%"
"2005년 6월","3.921","3.921","3.921","3.921","-1.66%"
"2005년 5월","3.987","3.987","3.987","3.987","-5.07%"
"2005년 4월","4.200","4.200","4.200","4.200","-6.42%"
"2005년 3월","4.488","4.488","4.488","4.488","2.44%"
"2005년 2월","4.381","4.381","4.381","4.381","6.03%"
"2005년 1월","4.132","4.132","4.132","4.132","-2.13%"
"2004년 12월","4.222","4.222","4.222","4.222","-3.05%"
"2004년 11월","4.355","4.355","4.355","4.355","8.09%"
"2004년 10월","4.029","4.029","4.029","4.029","-2.28%"
"2004년 9월","4.123","4.123","4.123","4.123","-2.76%"
"2004년 8월","4.240","4.240","4.240","4.240","-5.59%"
"2004년 7월","4.491","4.491","4.491","4.491","-2.01%"
"2004년 6월","4.583","4.583","4.583","4.583","-1.76%"
"2004년 5월","4.665","4.665","4.665","4.665","3.44%"
"2004년 4월","4.510","4.510","4.510","4.510","17.54%"
"2004년 3월","3.837","3.837","3.837","3.837","-3.40%"
"2004년 2월","3.972","3.972","3.972","3.972","-3.92%"
"2004년 1월","4.134","4.134","4.134","4.134","-2.80%"
"2003년 12월","4.253","4.253","4.253","4.253","-1.87%"
"2003년 11월","4.334","4.334","4.334","4.334","0.86%"
"2003년 10월","4.297","4.297","4.297","4.297","9.06%"
"2003년 9월","3.940","3.940","3.940","3.940","-11.86%"
"2003년 8월","4.470","4.470","4.470","4.470","1.36%"
"2003년 7월","4.410","4.410","4.410","4.410","25.43%"
"2003년 6월","3.516","3.516","3.516","3.516","4.24%"
"2003년 5월","3.373","3.373","3.373","3.373","-12.16%"
"2003년 4월","3.840","3.840","3.840","3.840","1.00%"
"2003년 3월","3.802","3.802","3.802","3.802","2.98%"
"2003년 2월","3.692","3.692","3.692","3.692","-6.91%"
"2003년 1월","3.966","3.966","3.966","3.966","3.88%"
"2002년 12월","3.818","3.818","3.818","3.818","-9.33%"
"2002년 11월","4.211","4.211","4.211","4.211","8.11%"
"2002년 10월","3.895","3.895","3.895","3.895","8.19%"
"2002년 9월","3.600","3.600","3.600","3.600","-12.83%"
"2002년 8월","4.130","4.130","4.130","4.130","-7.38%"
"2002년 7월","4.459","4.459","4.459","4.459","-7.28%"
"2002년 6월","4.809","4.809","4.809","4.809","-4.68%"
"2002년 5월","5.045","5.045","5.045","5.045","-0.86%"
"2002년 4월","5.089","5.089","5.089","5.089","-5.86%"
"2002년 3월","5.406","5.406","5.406","5.406","10.92%"
"2002년 2월","4.874","4.874","4.874","4.874","-3.41%"
"2002년 1월","5.046","5.046","5.046","5.046","0.34%"
"2001년 12월","5.029","5.029","5.029","5.029","5.78%"
"2001년 11월","4.754","4.754","4.754","4.754","12.02%"
"2001년 10월","4.244","4.244","4.244","4.244","-7.54%"
"2001년 9월","4.590","4.590","4.590","4.590","-5.17%"
"2001년 8월","4.840","4.840","4.840","4.840","-4.25%"
"2001년 7월","5.055","5.055","5.055","5.055","-6.46%"
"2001년 6월","5.404","5.404","5.404","5.404","0.35%"
"2001년 5월","5.385","5.385","5.385","5.385","0.92%"
"2001년 4월","5.336","5.336","5.336","5.336","8.57%"
"2001년 3월","4.915","4.915","4.915","4.915","0.22%"
"2001년 2월","4.904","4.904","4.904","4.904","-4.07%"
"2001년 1월","5.112","5.112","5.112","5.112","0.00%"
"2000년 12월","5.112","5.112","5.112","5.112","-6.68%"
"2000년 11월","5.478","5.478","5.478","5.478","-4.91%"
"2000년 10월","5.761","5.761","5.761","5.761","-0.81%"
"2000년 9월","5.808","5.808","5.808","5.808","1.38%"
"2000년 8월","5.729","5.729","5.729","5.729","-5.15%"
"2000년 7월","6.040","6.040","6.040","6.040","0.22%"
"2000년 6월","6.027","6.027","6.027","6.027","-4.11%"
"2000년 5월","6.285","6.285","6.285","6.285","1.08%"
"2000년 4월","6.218","6.218","6.218","6.218","3.60%"
"2000년 3월","6.002","6.002","6.002","6.002","-6.35%"
"2000년 2월","6.409","6.409","6.409","6.409","-3.80%"
"2000년 1월","6.662","6.662","6.662","6.662","3.53%"
