"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2002-12","Dec-2002","IDX","Index","0","Units",,,100.2303,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-01","Jan-2003","IDX","Index","0","Units",,,99.5175,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-02","Feb-2003","IDX","Index","0","Units",,,98.9193,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-03","Mar-2003","IDX","Index","0","Units",,,98.53388,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-04","Apr-2003","IDX","Index","0","Units",,,98.34039,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-05","May-2003","IDX","Index","0","Units",,,98.09637,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-06","Jun-2003","IDX","Index","0","Units",,,97.8316,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-07","Jul-2003","IDX","Index","0","Units",,,97.71668,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-08","Aug-2003","IDX","Index","0","Units",,,97.83989,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-09","Sep-2003","IDX","Index","0","Units",,,98.09686,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-10","Oct-2003","IDX","Index","0","Units",,,98.36767,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-11","Nov-2003","IDX","Index","0","Units",,,98.63521,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2003-12","Dec-2003","IDX","Index","0","Units",,,98.86457,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-01","Jan-2004","IDX","Index","0","Units",,,99.07326,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-02","Feb-2004","IDX","Index","0","Units",,,99.28959,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-03","Mar-2004","IDX","Index","0","Units",,,99.41901,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-04","Apr-2004","IDX","Index","0","Units",,,99.36562,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-05","May-2004","IDX","Index","0","Units",,,99.09046,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-06","Jun-2004","IDX","Index","0","Units",,,98.81499,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-07","Jul-2004","IDX","Index","0","Units",,,98.73326,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-08","Aug-2004","IDX","Index","0","Units",,,98.83689,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-09","Sep-2004","IDX","Index","0","Units",,,98.92179,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-10","Oct-2004","IDX","Index","0","Units",,,98.89736,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2004-11","Nov-2004","IDX","Index","0","Units",,,98.77673,,
