일차,출발시간,소요시간,날짜
4,0,82,2015-02-22
0,1,81,2015-02-17
1,1,201,2015-02-18
2,1,85,2015-02-19
3,1,81,2015-02-21
4,1,81,2015-02-22
0,2,83,2015-02-17
1,2,188,2015-02-18
2,2,83,2015-02-19
3,2,81,2015-02-21
4,2,81,2015-02-22
0,3,92,2015-02-17
1,3,173,2015-02-18
2,3,90,2015-02-19
3,3,79,2015-02-21
4,3,86,2015-02-22
0,4,82,2015-02-17
1,4,178,2015-02-18
2,4,87,2015-02-19
3,4,84,2015-02-21
4,4,84,2015-02-22
0,5,83,2015-02-17
1,5,166,2015-02-18
2,5,88,2015-02-19
3,5,79,2015-02-21
4,5,83,2015-02-22
0,6,101,2015-02-17
1,6,157,2015-02-18
2,6,89,2015-02-19
3,6,81,2015-02-21
4,6,87,2015-02-22
0,7,96,2015-02-17
1,7,181,2015-02-18
2,7,89,2015-02-19
3,7,83,2015-02-21
4,7,82,2015-02-22
0,8,93,2015-02-17
1,8,171,2015-02-18
2,8,94,2015-02-19
3,8,83,2015-02-21
4,8,79,2015-02-22
0,9,86,2015-02-17
1,9,182,2015-02-18
2,9,94,2015-02-19
3,9,85,2015-02-21
4,9,82,2015-02-22
0,10,93,2015-02-17
1,10,203,2015-02-18
2,10,99,2015-02-19
3,10,86,2015-02-21
4,10,81,2015-02-22
0,11,90,2015-02-17
1,11,215,2015-02-18
2,11,103,2015-02-19
3,11,84,2015-02-21
4,11,81,2015-02-22
0,12,112,2015-02-17
1,12,242,2015-02-18
2,12,113,2015-02-19
3,12,88,2015-02-21
4,12,84,2015-02-22
0,13,113,2015-02-17
1,13,251,2015-02-18
2,13,128,2015-02-19
3,13,92,2015-02-21
4,13,83,2015-02-22
0,14,126,2015-02-17
1,14,243,2015-02-18
2,14,143,2015-02-19
3,14,88,2015-02-21
4,14,85,2015-02-22
0,15,139,2015-02-17
1,15,203,2015-02-18
2,15,158,2015-02-19
3,15,94,2015-02-21
4,15,86,2015-02-22
0,16,151,2015-02-17
1,16,196,2015-02-18
2,16,147,2015-02-19
3,16,94,2015-02-21
4,16,86,2015-02-22
0,17,167,2015-02-17
1,17,182,2015-02-18
2,17,183,2015-02-19
3,17,93,2015-02-21
4,17,87,2015-02-22
0,18,176,2015-02-17
1,18,171,2015-02-18
2,18,200,2015-02-19
3,18,87,2015-02-21
4,18,86,2015-02-22
0,19,187,2015-02-17
1,19,160,2015-02-18
2,19,184,2015-02-19
3,19,92,2015-02-21
4,19,87,2015-02-22
0,20,227,2015-02-17
1,20,144,2015-02-18
2,20,206,2015-02-19
3,20,90,2015-02-21
4,20,87,2015-02-22
0,21,243,2015-02-17
1,21,126,2015-02-18
2,21,192,2015-02-19
3,21,90,2015-02-21
4,21,86,2015-02-22
0,22,249,2015-02-17
1,22,113,2015-02-18
2,22,165,2015-02-19
3,22,88,2015-02-21
4,22,85,2015-02-22
0,23,246,2015-02-17
1,23,104,2015-02-18
2,23,141,2015-02-19
3,23,88,2015-02-21
4,23,79,2015-02-22
0,0,89,2016-02-05
1,0,84,2016-02-06
2,0,82,2016-02-08
3,0,81,2016-02-09
4,0,93,2016-02-10
0,1,86,2016-02-05
1,1,84,2016-02-06
2,1,78,2016-02-08
3,1,85,2016-02-09
4,1,91,2016-02-10
0,2,79,2016-02-05
1,2,88,2016-02-06
2,2,92,2016-02-08
3,2,85,2016-02-09
4,2,93,2016-02-10
0,3,99,2016-02-05
1,3,87,2016-02-06
2,3,80,2016-02-08
3,3,81,2016-02-09
4,3,78,2016-02-10
0,4,80,2016-02-05
1,4,91,2016-02-06
2,4,93,2016-02-08
3,4,88,2016-02-09
4,4,76,2016-02-10
0,5,95,2016-02-05
1,5,89,2016-02-06
2,5,92,2016-02-08
3,5,96,2016-02-09
4,5,75,2016-02-10
0,6,77,2016-02-05
1,6,98,2016-02-06
2,6,90,2016-02-08
3,6,97,2016-02-09
4,6,75,2016-02-10
0,7,89,2016-02-05
1,7,101,2016-02-06
2,7,90,2016-02-08
3,7,84,2016-02-09
4,7,87,2016-02-10
0,8,82,2016-02-05
1,8,104,2016-02-06
2,8,93,2016-02-08
3,8,82,2016-02-09
4,8,85,2016-02-10
0,9,83,2016-02-05
1,9,111,2016-02-06
2,9,92,2016-02-08
3,9,82,2016-02-09
4,9,84,2016-02-10
0,10,86,2016-02-05
1,10,115,2016-02-06
2,10,91,2016-02-08
3,10,83,2016-02-09
4,10,84,2016-02-10
0,11,88,2016-02-05
1,11,109,2016-02-06
