"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2013년 8월","3,589.87","3,654.18","3,694.19","3,573.57","7.58B","-1.01%"
"2013년 7월","3,626.37","3,430.48","3,649.35","3,415.23","8.37B","6.56%"
"2013년 6월","3,403.25","3,460.76","3,488.31","3,294.95","9.56B","-1.52%"
"2013년 5월","3,455.91","3,325.35","3,532.04","3,296.51","9.02B","3.82%"
"2013년 4월","3,328.79","3,268.63","3,328.79","3,154.96","9.23B","1.88%"
"2013년 3월","3,267.52","3,143.54","3,270.30","3,129.40","7.85B","3.40%"
"2013년 2월","3,160.19","3,162.94","3,213.60","3,105.36","8.07B","0.57%"
"2013년 1월","3,142.13","3,091.33","3,164.06","3,076.60","8.32B","4.06%"
"2012년 12월","3,019.51","3,029.21","3,061.82","2,951.04","7.73B","0.31%"
"2012년 11월","3,010.24","2,987.54","3,033.85","2,810.80","8.59B","1.11%"
"2012년 10월","2,977.23","3,130.31","3,171.46","2,961.16","8.25B","-4.46%"
"2012년 9월","3,116.23","3,063.25","3,196.93","3,040.24","8.06B","1.61%"
"2012년 8월","3,066.96","2,956.72","3,100.54","2,890.85","8.59B","4.34%"
"2012년 7월","2,939.52","2,938.41","2,987.94","2,837.72","8.86B","0.15%"
"2012년 6월","2,935.05","2,810.13","2,942.28","2,726.68","10.16B","3.81%"
"2012년 5월","2,827.34","3,044.79","3,085.40","2,774.45","10.55B","-7.19%"
"2012년 4월","3,046.36","3,085.94","3,128.25","2,946.04","8.93B","-1.46%"
"2012년 3월","3,091.57","2,979.11","3,134.17","2,900.28","9.68B","4.20%"
"2012년 2월","2,966.89","2,830.10","3,000.11","2,825.19","9.35B","5.44%"
"2012년 1월","2,813.84","2,657.39","2,834.30","2,627.23","8.79B","8.01%"
"2011년 12월","2,605.15","2,615.67","2,674.53","2,518.01","8.75B","-0.58%"
"2011년 11월","2,620.34","2,607.31","2,730.39","2,441.48","10.18B","-2.39%"
"2011년 10월","2,684.41","2,401.19","2,753.37","2,298.89","11.33B","11.14%"
"2011년 9월","2,415.40","2,583.34","2,643.37","2,414.31","11.94B","-6.36%"
"2011년 8월","2,579.46","2,791.45","2,796.24","2,331.65","15.41B","-6.42%"
"2011년 7월","2,756.38","2,775.08","2,878.94","2,724.99","9.76B","-0.62%"
"2011년 6월","2,773.52","2,829.39","2,834.05","2,599.86","12.85B","-2.18%"
"2011년 5월","2,835.30","2,881.28","2,887.75","2,739.85","11.83B","-1.33%"
"2011년 4월","2,873.54","2,796.67","2,876.83","2,706.50","10.19B","3.32%"
"2011년 3월","2,781.07","2,791.08","2,802.32","2,603.50","12.13B","-0.04%"
"2011년 2월","2,782.27","2,717.61","2,840.51","2,705.54","9.62B","3.04%"
"2011년 1월","2,700.08","2,676.65","2,766.17","2,663.64","9.52B","1.78%"
"2010년 12월","2,652.87","2,535.19","2,675.26","2,535.19","9.34B","6.19%"
"2010년 11월","2,498.23","2,520.45","2,592.94","2,459.79","11.05B","-0.37%"
"2010년 10월","2,507.41","2,386.82","2,517.50","2,332.46","10.96B","5.86%"
"2010년 9월","2,368.62","2,142.75","2,400.06","2,141.95","11.62B","12.04%"
"2010년 8월","2,114.03","2,283.32","2,309.43","2,099.29","11.61B","-6.24%"
"2010년 7월","2,254.70","2,110.75","2,307.60","2,061.14","12.50B","6.90%"
"2010년 6월","2,109.24","2,244.79","2,341.11","2,105.26","14.17B","-6.55%"
"2010년 5월","2,257.04","2,472.32","2,503.00","2,140.53","15.56B","-8.29%"
"2010년 4월","2,461.19","2,411.68","2,535.28","2,383.77","13.66B","2.64%"
"2010년 3월","2,397.96","2,247.40","2,432.25","2,247.33","14.44B","7.14%"
"2010년 2월","2,238.26","2,155.81","2,251.68","2,100.17","12.18B","4.23%"
"2010년 1월","2,147.35","2,294.41","2,326.28","2,140.34","12.78B","-5.37%"
"2009년 12월","2,269.15","2,162.23","2,295.80","2,155.96","11.53B","5.81%"
"2009년 11월","2,144.60","2,047.42","2,205.32","2,024.27","11.98B","4.86%"
"2009년 10월","2,045.11","2,111.77","2,190.64","2,040.21","15.23B","-3.64%"
"2009년 9월","2,122.42","2,001.30","2,167.70","1,958.04","14.27B","5.64%"
"2009년 8월","2,009.06","1,998.35","2,059.48","1,929.64","12.70B","1.54%"
"2009년 7월","1,978.50","1,846.12","2,009.81","1,727.05","14.22B","7.82%"
"2009년 6월","1,835.04","1,796.09","1,879.92","1,753.78","16.20B","3.42%"
"2009년 5월","1,774.33","1,719.29","1,774.33","1,664.19","14.46B","3.32%"
"2009년 4월","1,717.30","1,504.87","1,753.61","1,498.54","15.43B","12.35%"
"2009년 3월","1,528.59","1,356.13","1,587.00","1,265.52","17.30B","10.94%"
"2009년 2월","1,377.84","1,460.85","1,598.50","1,372.42","15.71B","-6.68%"
"2009년 1월","1,476.42","1,578.87","1,665.63","1,434.08","15.09B","-6.38%"
"2008년 12월","1,577.03","1,496.09","1,602.92","1,398.07","15.38B","2.70%"
"2008년 11월","1,535.57","1,718.89","1,785.84","1,295.48","15.97B","-10.77%"
"2008년 10월","1,720.95","2,075.10","2,083.20","1,493.79","25.28B","-17.73%"
"2008년 9월","2,091.88","2,402.11","2,413.11","1,983.73","19.75B","-11.64%"
"2008년 8월","2,367.52","2,326.83","2,473.20","2,280.93","14.41B","1.80%"
"2008년 7월","2,325.55","2,274.24","2,353.39","2,167.29","20.42B","1.42%"
"2008년 6월","2,292.98","2,514.82","2,549.94","2,290.59","19.27B","-9.10%"
"2008년 5월","2,522.66","2,416.49","2,551.47","2,416.49","17.48B","4.55%"
"2008년 4월","2,412.80","2,306.51","2,451.19","2,266.29","17.61B","5.87%"
"2008년 3월","2,279.10","2,271.26","2,346.78","2,155.42","19.52B","0.34%"
"2008년 2월","2,271.48","2,392.58","2,419.23","2,252.65","19.89B","-4.95%"
"2008년 1월","2,389.86","2,653.91","2,661.50","2,202.54","24.81B","-9.89%"
