"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2001년 4월","10,734.97","9,877.16","10,906.41","9,375.72","5.18B","8.67%"
"2001년 3월","9,878.78","10,493.25","10,859.50","9,106.54","6.04B","-5.87%"
"2001년 2월","10,495.28","10,884.82","11,035.14","10,294.01","4.16B","-3.60%"
"2001년 1월","10,887.36","10,790.92","11,028.00","10,468.04","290.79M","0.00%"
"2001년 1월","10,887.36","10,790.92","11,028.00","10,468.04","5.83B","0.93%"
"2000년 12월","10,786.85","10,416.76","10,917.68","10,299.21","5.21B","3.58%"
"2000년 11월","10,414.49","10,966.21","11,006.50","10,292.39","4.68B","-5.07%"
"2000년 10월","10,971.14","10,659.06","10,995.41","9,654.64","297.12M","0.00%"
"2000년 10월","10,971.14","10,659.06","10,995.41","9,654.64","6.26B","3.01%"
"2000년 9월","10,650.92","11,219.54","11,401.19","10,567.32","4.64B","-5.03%"
"2000년 8월","11,215.10","10,523.81","11,319.06","10,516.76","3.62B","6.59%"
"2000년 7월","10,521.98","10,450.36","10,874.63","10,393.09","171.24M","0.00%"
"2000년 7월","10,521.98","10,450.36","10,874.63","10,393.09","3.25B","0.71%"
"2000년 6월","10,447.90","10,532.27","10,863.00","10,335.46","3.79B","-0.71%"
"2000년 5월","10,522.34","10,749.42","10,971.24","10,258.81","3.82B","-1.97%"
"2000년 4월","10,733.91","10,863.28","11,425.45","10,201.53","222.28M","-0.00%"
"2000년 4월","10,733.92","10,863.28","11,425.45","10,201.53","4.05B","-1.72%"
"2000년 3월","10,921.93","10,128.11","11,234.65","9,731.81","4.75B","7.84%"
"2000년 2월","10,128.31","10,937.74","11,118.93","9,836.06","3.66B","-7.42%"
"2000년 1월","10,940.53","11,501.85","11,750.28","10,701.64","202.32M","-0.00%"
"2000년 1월","10,940.54","11,501.85","11,750.28","10,701.64","3.83B","-4.84%"
