"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 5월","2,916.62","2,940.39","3,004.42","2,780.76","285.38B","-0.74%"
"2016년 4월","2,938.32","2,997.09","3,097.16","2,905.05","378.70B","-2.18%"
"2016년 3월","3,003.92","2,688.38","3,028.32","2,668.76","508.46B","11.75%"
"2016년 2월","2,687.98","2,730.98","2,933.96","2,638.96","301.33B","-1.81%"
"2016년 1월","2,737.60","3,536.59","3,538.69","2,638.30","400.78B","-22.65%"
"2015년 12월","3,539.18","3,442.44","3,684.57","3,399.28","536.82B","2.72%"
"2015년 11월","3,445.40","3,337.58","3,678.27","3,302.18","706.58B","1.86%"
"2015년 10월","3,382.56","3,156.07","3,457.52","3,133.13","545.26B","10.80%"
"2015년 9월","3,052.78","3,157.83","3,256.74","2,983.54","536.25B","-4.78%"
"2015년 8월","3,205.99","3,614.99","4,006.34","2,850.71","871.93B","-12.49%"
"2015년 7월","3,663.73","4,214.15","4,317.05","3,373.54","1,319.36B","-14.34%"
"2015년 6월","4,277.22","4,633.10","5,178.19","3,847.88","1,287.06B","-7.25%"
"2015년 5월","4,611.74","4,441.34","4,986.50","4,099.04","1,066.49B","3.83%"
"2015년 4월","4,441.66","3,748.34","4,572.39","3,742.21","1,267.74B","18.51%"
"2015년 3월","3,747.90","3,332.72","3,835.57","3,198.37","944.25B","13.22%"
"2015년 2월","3,310.30","3,148.14","3,324.55","3,049.11","361.56B","3.11%"
"2015년 1월","3,210.36","3,258.63","3,406.79","3,095.07","703.74B","-0.75%"
"2014년 12월","3,234.68","2,691.72","3,239.36","2,665.69","1,138.35B","20.57%"
"2014년 11월","2,682.83","2,425.22","2,683.18","2,401.75","569.13B","10.85%"
"2014년 10월","2,420.18","2,368.58","2,423.60","2,279.84","369.73B","2.38%"
"2014년 9월","2,363.87","2,220.13","2,365.49","2,217.68","419.10B","6.62%"
"2014년 8월","2,217.20","2,194.17","2,248.94","2,180.60","334.38B","0.71%"
"2014년 7월","2,201.56","2,051.22","2,202.13","2,033.00","298.10B","7.48%"
"2014년 6월","2,048.33","2,039.20","2,087.32","2,010.53","159.12B","0.45%"
"2014년 5월","2,039.21","2,022.18","2,061.06","1,991.06","151.25B","0.63%"
"2014년 4월","2,026.36","2,031.00","2,146.67","1,997.64","206.74B","-0.34%"
"2014년 3월","2,033.31","2,052.08","2,079.55","1,974.38","231.30B","-1.12%"
"2014년 2월","2,056.30","2,022.32","2,177.98","2,014.38","205.12B","1.14%"
"2014년 1월","2,033.08","2,112.13","2,113.11","1,984.82","156.36B","-3.92%"
"2013년 12월","2,115.98","2,203.12","2,260.87","2,068.54","207.13B","-4.71%"
"2013년 11월","2,220.50","2,139.88","2,234.39","2,078.99","218.79B","3.68%"
"2013년 10월","2,141.61","2,171.90","2,242.98","2,093.20","237.74B","-1.52%"
"2013년 9월","2,174.66","2,104.09","2,270.27","2,078.46","299.95B","3.64%"
"2013년 8월","2,098.38","2,000.82","2,198.85","1,997.06","248.95B","5.25%"
"2013년 7월","1,993.80","1,965.99","2,092.87","1,946.37","216.50B","0.74%"
"2013년 6월","1,979.21","2,300.21","2,313.43","1,849.65","155.24B","-13.97%"
"2013년 5월","2,300.59","2,170.78","2,334.33","2,161.14","229.49B","5.63%"
"2013년 4월","2,177.91","2,229.46","2,253.42","2,165.78","149.71B","-2.62%"
"2013년 3월","2,236.62","2,364.54","2,369.65","2,228.81","232.60B","-5.45%"
"2013년 2월","2,365.59","2,377.41","2,444.80","2,289.89","193.56B","-0.83%"
"2013년 1월","2,385.42","2,289.51","2,391.82","2,234.95","267.19B","5.13%"
"2012년 12월","2,269.13","1,977.25","2,269.51","1,949.46","224.52B","14.60%"
"2012년 11월","1,980.12","2,070.02","2,123.33","1,959.33","124.52B","-4.29%"
"2012년 10월","2,068.88","2,084.85","2,138.03","2,053.09","123.13B","-0.83%"
"2012년 9월","2,086.17","2,044.82","2,145.00","1,999.48","143.28B","1.89%"
"2012년 8월","2,047.52","2,101.72","2,176.79","2,032.54","136.40B","-2.67%"
"2012년 7월","2,103.63","2,234.32","2,244.83","2,100.25","134.91B","-5.47%"
"2012년 6월","2,225.43","2,373.22","2,388.09","2,188.72","127.61B","-6.19%"
"2012년 5월","2,372.23","2,421.08","2,453.73","2,309.07","199.12B","-1.00%"
"2012년 4월","2,396.32","2,258.03","2,415.75","2,251.39","163.37B","5.90%"
"2012년 3월","2,262.79","2,418.79","2,476.22","2,242.34","208.95B","-6.82%"
"2012년 2월","2,428.49","2,288.07","2,478.38","2,263.34","195.23B","5.93%"
"2012년 1월","2,292.61","2,212.00","2,324.49","2,132.63","104.56B","4.24%"
"2011년 12월","2,199.42","2,392.48","2,423.56","2,134.02","115.45B","-5.74%"
"2011년 11월","2,333.41","2,450.33","2,536.78","2,319.44","164.17B","-5.46%"
"2011년 10월","2,468.25","2,363.08","2,483.76","2,307.15","120.18B","4.62%"
"2011년 9월","2,359.22","2,569.80","2,584.80","2,348.22","119.03B","-8.11%"
"2011년 8월","2,567.34","2,697.57","2,712.89","2,437.68","180.20B","-4.97%"
"2011년 7월","2,701.73","2,767.83","2,826.96","2,677.12","197.20B","-2.18%"
"2011년 6월","2,762.08","2,737.06","2,774.37","2,610.99","162.70B","0.68%"
"2011년 5월","2,743.47","2,911.51","2,933.46","2,689.21","178.51B","-5.77%"
"2011년 4월","2,911.51","2,932.48","3,067.46","2,871.01","230.99B","-0.57%"
"2011년 3월","2,928.11","2,906.28","3,012.04","2,850.94","294.10B","0.79%"
"2011년 2월","2,905.05","2,795.07","2,944.41","2,760.18","175.65B","4.10%"
"2011년 1월","2,790.69","2,825.33","2,868.01","2,661.45","172.83B","-0.62%"
"2010년 12월","2,808.08","2,810.54","2,939.05","2,721.48","211.97B","-0.43%"
"2010년 11월","2,820.18","2,986.89","3,186.72","2,758.92","353.40B","-5.33%"
"2010년 10월","2,978.83","2,681.25","3,073.38","2,677.99","297.02B","12.17%"
"2010년 9월","2,655.66","2,641.05","2,704.93","2,573.63","204.53B","0.64%"
"2010년 8월","2,638.80","2,635.81","2,701.93","2,564.84","240.95B","0.05%"
"2010년 7월","2,637.50","2,393.95","2,656.41","2,319.74","190.75B","9.97%"
"2010년 6월","2,398.37","2,577.76","2,598.90","2,382.36","122.57B","-7.48%"
"2010년 5월","2,592.15","2,821.35","2,862.55","2,481.97","166.99B","-9.70%"
"2010년 4월","2,870.61","3,111.93","3,181.66","2,820.95","229.74B","-7.67%"
"2010년 3월","3,109.11","3,057.01","3,132.58","2,963.44","214.92B","1.87%"
"2010년 2월","3,051.94","2,981.37","3,067.53","2,890.02","122.55B","2.10%"
"2010년 1월","2,989.29","3,289.75","3,306.75","2,963.89","235.57B","-8.78%"
"2009년 12월","3,277.14","3,191.06","3,334.01","3,039.86","269.10B","2.56%"
"2009년 11월","3,195.30","2,933.82","3,361.39","2,923.53","343.00B","6.66%"
"2009년 10월","2,995.85","2,840.13","3,123.46","2,834.62","176.73B","7.79%"
"2009년 9월","2,779.43","2,649.17","3,068.03","2,639.76","258.01B","4.19%"
"2009년 8월","2,667.74","3,429.69","3,478.01","2,663.00","290.96B","-21.81%"
"2009년 7월","3,412.06","2,950.17","3,454.02","2,947.69","416.59B","15.30%"
"2009년 6월","2,959.36","2,668.40","2,997.27","2,668.40","297.82B","12.40%"
"2009년 5월","2,632.93","2,486.68","2,688.11","2,486.22","247.15B","6.27%"
"2009년 4월","2,477.57","2,380.98","2,579.22","2,331.88","317.75B","4.40%"
"2009년 3월","2,373.21","2,066.23","2,392.77","2,037.02","287.19B","13.94%"
"2009년 2월","2,082.85","2,008.13","2,402.81","1,987.13","324.39B","4.63%"
"2009년 1월","1,990.66","1,849.02","2,018.51","1,844.09","135.00B","9.33%"
"2008년 12월","1,820.81","1,865.74","2,100.81","1,814.75","227.54B","-2.69%"
"2008년 11월","1,871.16","1,713.76","2,050.88","1,678.96","182.70B","8.24%"
"2008년 10월","1,728.79","2,267.39","2,267.39","1,664.92","102.00B","-24.63%"
"2008년 9월","2,293.78","2,380.47","2,380.47","1,802.33","106.06B","-4.32%"
"2008년 8월","2,397.37","2,751.02","2,830.76","2,284.59","91.52B","-13.63%"
"2008년 7월","2,775.72","2,743.16","2,952.04","2,566.53","144.98B","1.45%"
"2008년 6월","2,736.10","3,426.20","3,483.61","2,693.40","101.83B","-20.31%"
"2008년 5월","3,433.35","3,739.80","3,786.02","3,333.95","142.48B","-7.03%"
"2008년 4월","3,693.11","3,461.09","3,705.09","2,990.79","136.81B","6.35%"
"2008년 3월","3,472.71","4,323.70","4,472.15","3,357.23","129.09B","-20.14%"
"2008년 2월","4,348.54","4,388.25","4,695.80","4,123.31","86.12B","-0.80%"
"2008년 1월","4,383.39","5,265.00","5,522.78","4,330.70","177.17B","-16.69%"
"2007년 12월","5,261.56","4,838.56","5,336.50","4,798.01","125.15B","8.00%"
"2007년 11월","4,871.78","5,978.94","6,005.13","4,778.73","100.70B","-18.19%"
"2007년 10월","5,954.77","5,683.31","6,124.04","5,462.01","134.07B","7.25%"
"2007년 9월","5,552.30","5,257.78","5,560.42","5,025.34","191.89B","6.39%"
"2007년 8월","5,218.82","4,488.77","5,235.16","4,284.87","240.79B","16.73%"
"2007년 7월","4,471.03","3,800.23","4,476.63","3,563.54","169.55B","17.02%"
"2007년 6월","3,820.70","4,120.63","4,312.00","3,404.15","265.02B","-7.03%"
"2007년 5월","4,109.65","3,937.94","4,335.96","3,845.23","291.42B","6.99%"
"2007년 4월","3,841.27","3,196.59","3,851.35","3,196.59","291.09B","20.64%"
"2007년 3월","3,183.98","2,877.20","3,273.73","2,723.07","243.63B","10.51%"
"2007년 2월","2,881.07","2,744.81","3,049.77","2,541.53","147.27B","3.40%"
"2007년 1월","2,786.34","2,728.19","2,994.28","2,617.02","231.77B","4.14%"
"2006년 12월","2,675.47","2,106.30","2,698.90","2,084.27","162.66B","27.45%"
"2006년 11월","2,099.29","1,838.68","2,102.06","1,833.20","119.33B","14.22%"
"2006년 10월","1,837.99","1,768.14","1,842.73","1,753.49","80.21B","4.88%"
"2006년 9월","1,752.42","1,658.66","1,755.69","1,634.03","78.24B","5.65%"
"2006년 8월","1,658.64","1,619.63","1,667.53","1,541.41","63.17B","2.85%"
"2006년 7월","1,612.73","1,677.31","1,757.47","1,611.16","85.72B","-3.56%"
"2006년 6월","1,672.21","1,639.67","1,695.58","1,512.52","98.59B","1.88%"
"2006년 5월","1,641.30","1,446.99","1,678.60","1,446.99","115.63B","13.96%"
"2006년 4월","1,440.22","1,298.68","1,444.71","1,298.68","82.60B","10.93%"
"2006년 3월","1,298.30","1,299.15","1,313.12","1,238.16","50.28B","-0.06%"
"2006년 2월","1,299.03","1,251.27","1,304.61","1,245.92","49.31B","3.26%"
"2006년 1월","1,258.05","1,163.88","1,262.09","1,161.91","45.17B","8.35%"
"2005년 12월","1,161.06","1,098.78","1,173.06","1,074.01","29.66B","5.62%"
"2005년 11월","1,099.26","1,091.68","1,122.88","1,074.30","31.48B","0.59%"
"2005년 10월","1,092.82","1,153.67","1,165.67","1,067.41","26.74B","-5.43%"
"2005년 9월","1,155.61","1,163.70","1,223.57","1,129.05","54.58B","-0.62%"
"2005년 8월","1,162.80","1,082.80","1,201.76","1,081.12","63.61B","7.37%"
"2005년 7월","1,083.03","1,077.31","1,097.63","1,004.08","30.64B","0.19%"
"2005년 6월","1,080.94","1,059.61","1,146.42","998.23","38.62B","1.90%"
"2005년 5월","1,060.74","1,160.62","1,165.39","1,043.28","18.11B","-8.49%"
"2005년 4월","1,159.15","1,180.37","1,254.32","1,135.73","31.89B","-1.87%"
"2005년 3월","1,181.24","1,305.25","1,326.08","1,162.03","31.12B","-9.55%"
"2005년 2월","1,306.00","1,189.50","1,328.53","1,187.26","22.34B","9.58%"
"2005년 1월","1,191.82","1,260.78","1,268.86","1,189.21","19.71B","-5.90%"
"2004년 12월","1,266.50","1,340.92","1,352.45","1,264.15","22.13B","-5.54%"
"2004년 11월","1,340.77","1,317.66","1,387.34","1,290.99","30.01B","1.53%"
"2004년 10월","1,320.54","1,395.67","1,437.57","1,289.87","26.15B","-5.45%"
"2004년 9월","1,396.70","1,340.75","1,496.21","1,259.43","38.91B","4.07%"
"2004년 8월","1,342.06","1,381.88","1,424.55","1,310.02","18.07B","-3.18%"
"2004년 7월","1,386.20","1,398.20","1,466.78","1,366.50","23.10B","-0.93%"
"2004년 6월","1,399.16","1,555.56","1,580.57","1,376.22","22.13B","-10.07%"
"2004년 5월","1,555.91","1,600.63","1,606.07","1,508.64","14.79B","-2.49%"
"2004년 4월","1,595.59","1,744.71","1,783.01","1,572.23","37.30B","-8.38%"
"2004년 3월","1,741.62","1,676.22","1,760.08","1,634.71","41.46B","3.97%"
"2004년 2월","1,675.07","1,630.65","1,730.28","1,585.96","54.60B","5.30%"
"2004년 1월","1,590.73","1,492.72","1,634.41","1,491.69","32.02B","6.26%"
"2003년 12월","1,497.04","1,398.71","1,525.30","1,398.71","39.28B","7.14%"
"2003년 11월","1,397.22","1,346.48","1,423.58","1,307.39","28.13B","3.63%"
"2003년 10월","1,348.30","1,366.20","1,411.88","1,334.78","15.16B","-1.38%"
"2003년 9월","1,367.16","1,423.35","1,456.55","1,348.22","14.18B","-3.86%"
"2003년 8월","1,421.98","1,476.47","1,497.10","1,406.68","11.64B","-3.71%"
"2003년 7월","1,476.74","1,485.52","1,540.19","1,464.87","18.63B","-0.62%"
"2003년 6월","1,486.02","1,577.99","1,582.41","1,483.69","19.09B","-5.72%"
"2003년 5월","1,576.26","1,522.98","1,581.61","1,477.25","23.24B","3.60%"
"2003년 4월","1,521.44","1,513.00","1,649.60","1,473.27","45.96B","0.72%"
"2003년 3월","1,510.58","1,511.59","1,529.75","1,447.01","15.14B","-0.09%"
"2003년 2월","1,511.93","1,499.17","1,524.75","1,474.47","11.98B","0.81%"
"2003년 1월","1,499.82","1,347.43","1,508.59","1,311.68","26.37B","10.47%"
"2002년 12월","1,357.65","1,432.03","1,439.85","1,348.71","12.64B","-5.34%"
"2002년 11월","1,434.18","1,507.38","1,573.10","1,353.14","14.06B","-4.86%"
"2002년 10월","1,507.50","1,577.05","1,577.05","1,488.68","9.47B","-4.69%"
"2002년 9월","1,581.62","1,666.34","1,680.28","1,577.53","7.96B","-5.10%"
"2002년 8월","1,666.62","1,650.05","1,696.28","1,624.05","10.78B","0.91%"
"2002년 7월","1,651.59","1,736.29","1,741.92","1,647.27","20.20B","-4.68%"
"2002년 6월","1,732.76","1,510.25","1,748.89","1,455.31","24.83B","14.32%"
"2002년 5월","1,515.73","1,669.87","1,670.92","1,506.54","10.52B","-9.12%"
"2002년 4월","1,667.75","1,598.03","1,680.30","1,575.97","17.50B","3.98%"
"2002년 3월","1,603.90","1,521.53","1,693.87","1,494.83","27.30B","5.19%"
"2002년 2월","1,524.70","1,494.58","1,544.92","1,476.13","8.47B","2.21%"
"2002년 1월","1,491.66","1,643.48","1,643.50","1,339.20","14.24B","-9.38%"
"2001년 12월","1,645.97","1,751.05","1,776.02","1,593.03","12.02B","-5.84%"
"2001년 11월","1,747.99","1,692.35","1,748.00","1,550.46","12.36B","3.48%"
"2001년 10월","1,689.17","1,766.13","1,773.80","1,514.86","10.93B","-4.29%"
"2001년 9월","1,764.87","1,831.70","1,888.90","1,750.76","9.11B","-3.78%"
"2001년 8월","1,834.14","1,925.24","1,990.70","1,795.57","13.93B","-4.49%"
"2001년 7월","1,920.32","2,220.42","2,223.21","1,909.30","13.18B","-13.42%"
"2001년 6월","2,218.03","2,216.56","2,245.43","2,157.12","20.69B","0.17%"
"2001년 5월","2,214.26","2,119.90","2,222.65","2,119.89","19.17B","4.49%"
"2001년 4월","2,119.18","2,117.45","2,179.74","2,081.64","24.34B","0.30%"
"2001년 3월","2,112.78","1,959.01","2,112.88","1,953.72","25.26B","7.84%"
"2001년 2월","1,959.18","2,069.86","2,072.55","1,893.78","8.49B","-5.15%"
"2001년 1월","2,065.61","2,077.08","2,131.98","2,007.71","12.54B","-0.38%"
"2000년 12월","2,073.48","2,073.09","2,097.29","2,024.29","15.57B","0.14%"
"2000년 11월","2,070.61","1,961.08","2,125.72","1,959.72","18.64B","5.57%"
"2000년 10월","1,961.29","1,912.08","1,980.63","1,896.94","9.93B","2.68%"
"2000년 9월","1,910.16","2,009.15","2,026.35","1,874.21","11.58B","-5.49%"
"2000년 8월","2,021.20","2,027.01","2,114.52","1,980.35","26.43B","-0.12%"
"2000년 7월","2,023.54","1,917.44","2,025.00","1,888.25","21.55B","4.95%"
"2000년 6월","1,928.11","1,900.53","1,953.34","1,884.62","25.43B","1.77%"
"2000년 5월","1,894.55","1,848.17","1,908.31","1,695.53","17.03B","3.17%"
"2000년 4월","1,836.32","1,799.58","1,858.27","1,746.30","23.55B","2.01%"
"2000년 3월","1,800.22","1,720.60","1,811.06","1,596.07","33.06B","4.99%"
"2000년 2월","1,714.58","1,591.44","1,770.88","1,583.58","23.54B","11.70%"
"2000년 1월","1,535.00","1,368.69","1,547.71","1,361.21","17.55B","12.32%"
