날짜,종가,오픈,고가,저가,변동 %
2009년 4월,36.5,45.42,45.6,33.68,-17.31%
2009년 5월,28.92,36.5,36.88,26.57,-20.77%
2009년 6월,26.35,28.7,32.77,25.02,-8.89%
2009년 7월,25.92,25.73,33.05,23,-1.63%
2009년 8월,26.01,25.92,28.39,23.68,0.35%
2009년 9월,25.61,26.01,29.57,22.19,-1.54%
2009년 10월,30.69,25.98,31.59,20.1,19.84%
2009년 11월,24.51,30.7,31.84,20.05,-20.14%
2009년 12월,21.68,24.51,24.51,19.25,-11.55%
2010년 1월,24.62,21.68,28.01,16.86,13.56%
2010년 2월,19.5,24.33,29.22,19.32,-20.80%
2010년 3월,17.59,19.93,19.94,16.17,-9.79%
2010년 4월,22.05,17.01,23.2,15.23,25.36%
2010년 5월,32.07,22.41,48.2,19.61,45.44%
2010년 6월,34.54,34.87,37.38,22.87,7.70%
2010년 7월,23.5,34.41,37.58,21.86,-31.96%
2010년 8월,26.05,23.07,28.92,21.36,10.85%
2010년 9월,23.7,25.13,25.13,20.85,-9.02%
2010년 10월,21.2,22.9,24.34,17.9,-10.55%
2010년 11월,23.54,21.65,23.84,17.76,11.04%
2010년 12월,17.75,21.19,21.43,15.4,-24.60%
2011년 1월,19.53,17.94,20.08,15.37,10.03%
2011년 2월,18.35,18.59,23.22,14.86,-6.04%
2011년 3월,17.74,17.63,31.28,17.07,-3.32%
2011년 4월,14.75,16.68,19.07,14.27,-16.85%
2011년 5월,15.45,15.07,20.03,15.07,4.75%
2011년 6월,16.52,15.95,24.65,15.88,6.93%
2011년 7월,25.25,16.06,25.94,15.12,52.85%
2011년 8월,31.62,22.63,48,22.46,25.23%
2011년 9월,42.96,31.91,43.87,30.43,35.86%
2011년 10월,29.96,44.25,46.88,24.44,-30.26%
2011년 11월,27.8,36.03,37.53,27.03,-7.21%
2011년 12월,23.4,27.63,30.91,20.34,-15.83%
2012년 1월,19.44,22.95,23.73,16.8,-16.92%
2012년 2월,18.43,18.68,21.98,16.1,-5.20%
2012년 3월,15.5,18.02,21.24,13.66,-15.90%
2012년 4월,17.15,16.35,21.06,15.02,10.65%
2012년 5월,24.06,17.27,25.46,16.01,40.29%
2012년 6월,17.08,25.87,27.73,16.77,-29.01%
2012년 7월,18.93,17.62,21,15.45,10.83%
2012년 8월,17.47,18.8,19.25,13.3,-7.71%
2012년 9월,15.73,18.65,18.96,13.51,-9.96%
2012년 10월,18.6,16.03,19.65,13.67,18.25%
2012년 11월,15.87,17.77,19.4,14.77,-14.68%
2012년 12월,18.02,15.81,23.23,15.41,13.55%
2013년 1월,14.28,15.24,15.93,12.29,-20.75%
2013년 2월,15.51,13.37,19.28,12.08,8.61%
2013년 3월,12.7,16.1,16.82,11.05,-18.12%
2013년 4월,13.52,13.46,18.2,11.99,6.46%
2013년 5월,16.3,13.88,16.35,12.26,20.56%
2013년 6월,16.86,16.4,21.91,14.96,3.44%
2013년 7월,13.45,16.9,17.32,12.07,-20.23%
2013년 8월,17.01,12.89,17.81,11.83,26.47%
2013년 9월,16.6,16.47,17.49,12.52,-2.41%
2013년 10월,13.75,16.31,21.34,12.34,-17.17%
2013년 11월,13.7,13.46,14.14,11.99,-0.36%
2013년 12월,13.72,13.91,16.75,11.69,0.15%
2014년 1월,18.41,14.32,18.99,11.81,34.18%
2014년 2월,14,18.57,21.48,13.44,-23.95%
2014년 3월,13.88,16.47,18.22,13.46,-0.86%
2014년 4월,13.41,13.43,17.85,12.6,-3.39%
2014년 5월,11.4,13.64,14.49,11.32,-14.99%
2014년 6월,11.57,11.69,12.89,10.34,1.49%
2014년 7월,16.95,11.28,17.11,10.28,46.50%
2014년 8월,11.98,16.67,17.57,11.24,-29.32%
2014년 9월,16.31,12.32,17.08,11.52,36.14%
2014년 10월,14.03,16.44,31.06,13.72,-13.98%
2014년 11월,13.33,14.41,15.93,11.91,-4.99%
2014년 12월,19.2,14.16,25.2,11.53,44.04%
2015년 1월,20.97,17.76,23.43,15.52,9.22%
2015년 2월,13.34,20.89,22.81,12.86,-36.39%
2015년 3월,15.29,13.9,17.19,12.54,14.62%
2015년 4월,14.55,15.32,16.66,12.12,-4.84%
2015년 5월,13.84,13.98,16.36,11.82,-4.88%
2015년 6월,18.23,13.92,19.8,11.93,31.72%
2015년 7월,12.12,16.63,20.05,11.71,-33.52%
2015년 8월,28.43,12.85,53.29,10.88,134.57%
2015년 9월,24.5,31.91,33.82,17.87,-13.82%
2015년 10월,15.07,23.14,25.23,12.8,-38.49%
2015년 11월,16.13,15.41,20.67,13.67,7.03%
2015년 12월,18.21,15.61,26.81,14.45,12.90%
2016년 1월,20.2,22.48,32.09,19.25,10.93%
