"날짜","종가","오픈","고가","저가","변동 %"
"2015년 6월","1,051.52","1,083.60","1,102.58","1,037.09","-2.87%"
"2015년 5월","1,082.63","1,054.30","1,102.99","1,038.13","2.66%"
"2015년 4월","1,054.56","1,102.86","1,143.32","1,050.79","-4.35%"
"2015년 3월","1,102.50","1,084.38","1,111.11","1,067.14","1.80%"
"2015년 2월","1,083.05","1,137.56","1,138.01","1,050.02","-4.72%"
"2015년 1월","1,136.73","978.72","1,168.39","971.09","16.20%"
"2014년 12월","978.26","937.92","999.59","919.20","4.39%"
"2014년 11월","937.08","938.02","973.70","911.43","0.07%"
"2014년 10월","936.45","956.46","985.40","925.74","-2.06%"
"2014년 9월","956.11","980.09","983.10","940.84","-2.43%"
"2014년 8월","979.88","957.97","988.84","955.96","2.32%"
"2014년 7월","957.65","969.36","988.70","952.31","-1.18%"
"2014년 6월","969.11","917.47","973.66","910.34","5.75%"
"2014년 5월","916.45","931.35","956.59","910.47","-1.56%"
"2014년 4월","930.93","932.49","963.72","917.76","-0.10%"
"2014년 3월","931.88","964.61","1,001.22","930.57","-2.87%"
"2014년 2월","959.41","923.33","979.22","919.83","4.07%"
"2014년 1월","921.89","876.51","933.89","874.16","5.21%"
"2013년 12월","876.24","921.83","921.97","859.35","-4.91%"
"2013년 11월","921.53","974.49","991.91","907.72","-5.36%"
"2013년 10월","973.71","981.73","987.95","926.93","-0.75%"
"2013년 9월","981.11","1,056.33","1,075.35","967.74","-7.05%"
"2013년 8월","1,055.50","994.82","1,071.99","957.59","6.22%"
"2013년 7월","993.72","949.16","1,019.78","941.08","4.86%"
"2013년 6월","947.69","1,067.71","1,082.61","906.20","-11.13%"
"2013년 5월","1,066.38","1,121.95","1,134.10","1,043.34","-4.87%"
"2013년 4월","1,120.96","1,251.95","1,252.79","1,013.02","-10.02%"
"2013년 3월","1,245.80","1,209.58","1,260.67","1,198.12","3.08%"
"2013년 2월","1,208.62","1,225.22","1,258.96","1,171.28","-1.29%"
"2013년 1월","1,224.41","1,269.86","1,286.33","1,220.44","-3.44%"
"2012년 12월","1,268.07","1,321.16","1,328.11","1,236.67","-3.82%"
"2012년 11월","1,318.37","1,327.79","1,367.93","1,303.62","-0.64%"
"2012년 10월","1,326.90","1,379.62","1,386.88","1,310.74","-3.67%"
"2012년 9월","1,377.41","1,344.23","1,381.63","1,330.84","2.51%"
"2012년 8월","1,343.62","1,315.47","1,346.18","1,290.14","2.44%"
"2012년 7월","1,311.62","1,259.85","1,326.14","1,257.87","3.92%"
"2012년 6월","1,262.20","1,264.22","1,315.42","1,238.57","0.09%"
"2012년 5월","1,261.08","1,256.38","1,270.11","1,203.07","0.36%"
"2012년 4월","1,256.52","1,259.01","1,277.30","1,227.92","0.51%"
"2012년 3월","1,250.12","1,272.03","1,308.07","1,237.52","-1.66%"
"2012년 2월","1,271.19","1,328.37","1,344.70","1,267.16","-4.38%"
"2012년 1월","1,329.43","1,212.30","1,331.36","1,204.99","10.07%"
"2011년 12월","1,207.75","1,299.31","1,308.32","1,181.46","-6.96%"
"2011년 11월","1,298.15","1,236.62","1,322.21","1,230.04","4.94%"
"2011년 10월","1,237.09","1,216.70","1,270.54","1,169.29","2.03%"
"2011년 9월","1,212.47","1,267.94","1,374.94","1,146.86","-4.36%"
"2011년 8월","1,267.77","1,132.72","1,331.69","1,117.71","12.24%"
"2011년 7월","1,129.50","1,034.06","1,145.64","1,020.93","9.24%"
"2011년 6월","1,033.99","1,065.88","1,087.44","1,032.88","-2.96%"
"2011년 5월","1,065.49","1,054.45","1,088.63","1,006.20","0.95%"
"2011년 4월","1,055.48","1,013.46","1,058.15","997.34","4.23%"
"2011년 3월","1,012.62","1,022.06","1,042.24","994.47","-0.98%"
"2011년 2월","1,022.67","972.90","1,036.69","960.51","5.07%"
"2011년 1월","973.34","1,063.26","1,070.61","953.27","-8.34%"
"2010년 12월","1,061.85","1,066.32","1,076.30","1,029.03","-0.43%"
"2010년 11월","1,066.49","971.82","1,068.51","944.69","9.43%"
"2010년 10월","974.59","957.56","985.81","945.75","1.49%"
"2010년 9월","960.33","984.39","995.28","953.51","-2.38%"
"2010년 8월","983.72","904.46","985.95","891.61","8.69%"
"2010년 7월","905.04","1,014.59","1,017.92","885.81","-10.87%"
"2010년 6월","1,015.41","986.67","1,051.31","983.53","2.73%"
"2010년 5월","988.39","882.43","1,013.47","883.27","11.46%"
