DATE,TEDRATE
2000-01-01,0.71894736842105263158
2000-02-01,0.55150000000000000000
2000-03-01,0.50217391304347826087
2000-04-01,0.65000000000000000000
2000-05-01,0.95904761904761904762
2000-06-01,1.1036363636363636
2000-07-01,0.77500000000000000000
2000-08-01,0.59909090909090909091
2000-09-01,0.67750000000000000000
2000-10-01,0.67000000000000000000
2000-11-01,0.58000000000000000000
2000-12-01,0.76842105263157894737
2001-01-01,0.55095238095238095238
2001-02-01,0.46421052631578947368
2001-03-01,0.53954545454545454545
2001-04-01,0.75105263157894736842
2001-05-01,0.48476190476190476190
2001-06-01,0.35000000000000000000
2001-07-01,0.23476190476190476190
2001-08-01,0.20500000000000000000
2001-09-01,0.34647058823529411765
2001-10-01,0.24090909090909090909
2001-11-01,0.23350000000000000000
2001-12-01,0.23526315789473684211
2002-01-01,0.16809523809523809524
2002-02-01,0.17789473684210526316
2002-03-01,0.20050000000000000000
2002-04-01,0.25523809523809523810
2002-05-01,0.17857142857142857143
2002-06-01,0.18111111111111111111
2002-07-01,0.16454545454545454545
2002-08-01,0.16000000000000000000
2002-09-01,0.17600000000000000000
2002-10-01,0.20454545454545454545
2002-11-01,0.22684210526315789474
2002-12-01,0.21450000000000000000
2003-01-01,0.19714285714285714286
2003-02-01,0.17842105263157894737
2003-03-01,0.15523809523809523810
2003-04-01,0.17000000000000000000
2003-05-01,0.21850000000000000000
2003-06-01,0.20571428571428571429
2003-07-01,0.20909090909090909091
2003-08-01,0.18850000000000000000
2003-09-01,0.20619047619047619048
2003-10-01,0.23681818181818181818
2003-11-01,0.23944444444444444444
2003-12-01,0.27238095238095238095
2004-01-01,0.24550000000000000000
2004-02-01,0.19842105263157894737
2004-03-01,0.17521739130434782609
2004-04-01,0.20750000000000000000
2004-05-01,0.22789473684210526316
2004-06-01,0.23333333333333333333
2004-07-01,0.29666666666666666667
2004-08-01,0.25523809523809523810
2004-09-01,0.25380952380952380952
2004-10-01,0.32300000000000000000
2004-11-01,0.23400000000000000000
2004-12-01,0.31350000000000000000
2005-01-01,0.33052631578947368421
2005-02-01,0.27789473684210526316
2005-03-01,0.28714285714285714286
2005-04-01,0.37190476190476190476
2005-05-01,0.43450000000000000000
2005-06-01,0.45318181818181818182
2005-07-01,0.40050000000000000000
2005-08-01,0.35954545454545454545
2005-09-01,0.49238095238095238095
2005-10-01,0.46400000000000000000
2005-11-01,0.46650000000000000000
2005-12-01,0.60600000000000000000
2006-01-01,0.36900000000000000000
2006-02-01,0.32157894736842105263
2006-03-01,0.40826086956521739130
2006-04-01,0.46777777777777777778
2006-05-01,0.46904761904761904762
2006-06-01,0.59363636363636363636
2006-07-01,0.55050000000000000000
2006-08-01,0.46090909090909090909
2006-09-01,0.57800000000000000000
2006-10-01,0.45571428571428571429
2006-11-01,0.42952380952380952381
2006-12-01,0.51473684210526315789
2007-01-01,0.38476190476190476190
2007-02-01,0.33263157894736842105
2007-03-01,0.40863636363636363636
2007-04-01,0.49210526315789473684
2007-05-01,0.62904761904761904762
2007-06-01,0.74904761904761904762
2007-07-01,0.53857142857142857143
2007-08-01,1.2950000000000000
2007-09-01,1.5921052631578947
2007-10-01,1.2409090909090909
2007-11-01,1.6900000000000000
2007-12-01,1.9968421052631579
2008-01-01,1.1676190476190476
2008-02-01,0.96450000000000000000
2008-03-01,1.5184210526315789
2008-04-01,1.5013636363636364
2008-05-01,0.94800000000000000000
2008-06-01,0.90904761904761904762
2008-07-01,1.1668181818181818
2008-08-01,1.0825000000000000
2008-09-01,2.0023809523809524
2008-10-01,3.3527272727272727
2008-11-01,2.0988888888888889
2008-12-01,1.7957142857142857
2009-01-01,1.0830000000000000
2009-02-01,0.94684210526315789474
2009-03-01,1.0536363636363636
2009-04-01,0.94950000000000000000
2009-05-01,0.64052631578947368421
2009-06-01,0.44363636363636363636
2009-07-01,0.32909090909090909091
2009-08-01,0.25150000000000000000
2009-09-01,0.17333333333333333333
2009-10-01,0.20571428571428571429
2009-11-01,0.21684210526315789474
2009-12-01,0.20095238095238095238
2010-01-01,0.18842105263157894737
2010-02-01,0.14105263157894736842
2010-03-01,0.11782608695652173913
2010-04-01,0.15000000000000000000
2010-05-01,0.29947368421052631579
2010-06-01,0.41454545454545454545
2010-07-01,0.35190476190476190476
2010-08-01,0.20666666666666666667
2010-09-01,0.13857142857142857143
2010-10-01,0.15550000000000000000
2010-11-01,0.14400000000000000000
2010-12-01,0.16100000000000000000
2011-01-01,0.14789473684210526316
2011-02-01,0.17789473684210526316
2011-03-01,0.20869565217391304348
2011-04-01,0.22111111111111111111
2011-05-01,0.22000000000000000000
2011-06-01,0.21272727272727272727
2011-07-01,0.21300000000000000000
2011-08-01,0.26863636363636363636
2011-09-01,0.33761904761904761905
2011-10-01,0.38800000000000000000
2011-11-01,0.46050000000000000000
2011-12-01,0.54500000000000000000
2012-01-01,0.53100000000000000000
2012-02-01,0.41150000000000000000
2012-03-01,0.38681818181818181818
2012-04-01,0.38578947368421052632
2012-05-01,0.38095238095238095238
2012-06-01,0.37421052631578947368
2012-07-01,0.35761904761904761905
2012-08-01,0.32954545454545454545
2012-09-01,0.27894736842105263158
2012-10-01,0.22476190476190476190
2012-11-01,0.21650000000000000000
2012-12-01,0.24105263157894736842
2013-01-01,0.22714285714285714286
2013-02-01,0.19263157894736842105
2013-03-01,0.19300000000000000000
2013-04-01,0.22000000000000000000
2013-05-01,0.22952380952380952381
2013-06-01,0.22150000000000000000
2013-07-01,0.23227272727272727273
2013-08-01,0.21857142857142857143
2013-09-01,0.23700000000000000000
