일차,출발시간,소요시간,날짜,눈비
4,6,84,2014-02-02,FALSE
0,7,84,2014-01-29,FALSE
1,7,168,2014-01-30,FALSE
2,7,87,2014-01-31,FALSE
3,7,80,2014-02-01,FALSE
4,7,81,2014-02-02,FALSE
0,8,85,2014-01-29,FALSE
1,8,174,2014-01-30,FALSE
2,8,90,2014-01-31,FALSE
3,8,79,2014-02-01,FALSE
4,8,81,2014-02-02,FALSE
0,9,85,2014-01-29,FALSE
1,9,177,2014-01-30,TRUE
2,9,89,2014-01-31,FALSE
3,9,79,2014-02-01,FALSE
4,9,82,2014-02-02,FALSE
0,10,87,2014-01-29,FALSE
1,10,203,2014-01-30,FALSE
2,10,87,2014-01-31,FALSE
3,10,81,2014-02-01,FALSE
4,10,84,2014-02-02,FALSE
0,11,92,2014-01-29,FALSE
1,11,205,2014-01-30,FALSE
2,11,88,2014-01-31,FALSE
3,11,82,2014-02-01,FALSE
4,11,84,2014-02-02,FALSE
0,12,102,2014-01-29,FALSE
1,12,225,2014-01-30,TRUE
2,12,97,2014-01-31,FALSE
3,12,85,2014-02-01,FALSE
4,12,87,2014-02-02,FALSE
0,13,113,2014-01-29,FALSE
1,13,216,2014-01-30,FALSE
2,13,107,2014-01-31,FALSE
3,13,88,2014-02-01,FALSE
4,13,89,2014-02-02,FALSE
0,14,125,2014-01-29,FALSE
1,14,206,2014-01-30,FALSE
2,14,119,2014-01-31,FALSE
3,14,88,2014-02-01,FALSE
4,14,91,2014-02-02,FALSE
0,15,139,2014-01-29,FALSE
1,15,187,2014-01-30,FALSE
2,15,135,2014-01-31,FALSE
3,15,89,2014-02-01,TRUE
4,15,89,2014-02-02,FALSE
0,16,142,2014-01-29,FALSE
1,16,172,2014-01-30,FALSE
2,16,146,2014-01-31,FALSE
3,16,91,2014-02-01,FALSE
4,16,92,2014-02-02,FALSE
0,17,156,2014-01-29,FALSE
1,17,157,2014-01-30,FALSE
2,17,133,2014-01-31,FALSE
3,17,94,2014-02-01,FALSE
4,17,88,2014-02-02,FALSE
0,18,186,2014-01-29,FALSE
1,18,146,2014-01-30,FALSE
2,18,144,2014-01-31,FALSE
3,18,90,2014-02-01,TRUE
4,18,95,2014-02-02,FALSE
0,19,194,2014-01-29,FALSE
1,19,134,2014-01-30,FALSE
2,19,168,2014-01-31,FALSE
3,19,98,2014-02-01,FALSE
4,19,91,2014-02-02,FALSE
0,20,222,2014-01-29,FALSE
1,20,121,2014-01-30,FALSE
2,20,161,2014-01-31,FALSE
3,20,102,2014-02-01,FALSE
4,20,85,2014-02-02,FALSE
0,21,239,2014-01-29,FALSE
1,21,110,2014-01-30,FALSE
2,21,144,2014-01-31,FALSE
3,21,90,2014-02-01,TRUE
4,21,90,2014-02-02,FALSE
0,22,222,2014-01-29,FALSE
1,22,102,2014-01-30,FALSE
2,22,127,2014-01-31,FALSE
3,22,96,2014-02-01,FALSE
4,22,87,2014-02-02,FALSE
0,23,229,2014-01-29,FALSE
1,23,99,2014-01-30,FALSE
2,23,114,2014-01-31,FALSE
3,23,87,2014-02-01,FALSE
4,23,85,2014-02-02,FALSE
0,0,97,2015-02-17,TRUE
1,0,219,2015-02-18,FALSE
2,0,84,2015-02-19,FALSE
3,0,81,2015-02-21,FALSE
4,0,82,2015-02-22,TRUE
0,1,81,2015-02-17,FALSE
1,1,201,2015-02-18,FALSE
2,1,85,2015-02-19,FALSE
3,1,81,2015-02-21,FALSE
4,1,81,2015-02-22,FALSE
0,2,83,2015-02-17,FALSE
1,2,188,2015-02-18,FALSE
2,2,83,2015-02-19,FALSE
3,2,81,2015-02-21,FALSE
4,2,81,2015-02-22,FALSE
0,3,92,2015-02-17,TRUE
1,3,173,2015-02-18,FALSE
2,3,90,2015-02-19,FALSE
3,3,79,2015-02-21,FALSE
4,3,86,2015-02-22,TRUE
0,4,82,2015-02-17,FALSE
1,4,178,2015-02-18,FALSE
2,4,87,2015-02-19,FALSE
3,4,84,2015-02-21,FALSE
4,4,84,2015-02-22,FALSE
0,5,83,2015-02-17,FALSE
1,5,166,2015-02-18,FALSE
2,5,88,2015-02-19,FALSE
3,5,79,2015-02-21,FALSE
4,5,83,2015-02-22,FALSE
0,6,101,2015-02-17,FALSE
1,6,157,2015-02-18,FALSE
2,6,89,2015-02-19,FALSE
3,6,81,2015-02-21,FALSE
4,6,87,2015-02-22,TRUE
0,7,96,2015-02-17,FALSE
1,7,181,2015-02-18,FALSE
2,7,89,2015-02-19,FALSE
3,7,83,2015-02-21,FALSE
4,7,82,2015-02-22,FALSE
0,8,93,2015-02-17,FALSE
