년도,분기,행정동,운영평균,폐업평균,서울운영평균,서울시폐업평균
2019,4,화곡본동,110,52,110,54
2019,4,화곡4동,105,49,110,54
2019,4,화곡3동,93,50,110,54
2019,4,화곡2동,108,49,110,54
2019,4,화곡1동,104,49,110,54
2019,4,등촌3동,93,49,110,54
2019,4,등촌2동,107,48,110,54
2019,4,등촌1동,95,53,110,54
2019,4,염창동,107,55,110,54
2019,4,신정7동,99,51,110,54
2019,4,신정6동,92,49,110,54
2019,4,신정4동,105,48,110,54
2019,4,신정3동,107,53,110,54
2019,4,신정2동,103,50,110,54
2019,4,신정1동,113,50,110,54
2019,4,신월7동,104,48,110,54
2019,4,신월6동,126,64,110,54
2019,4,신월5동,106,53,110,54
2019,4,신월4동,104,51,110,54
2019,4,신월3동,122,51,110,54
2019,4,신월2동,115,52,110,54
2019,4,신월1동,113,48,110,54
2019,4,목5동,98,51,110,54
2019,4,목4동,103,47,110,54
2019,4,목3동,106,51,110,54
2019,4,목2동,103,52,110,54
2019,4,목1동,93,50,110,54
2019,4,상암동,66,44,110,54
2019,4,성산2동,102,58,110,54
2019,4,성산1동,98,52,110,54
2019,4,연남동,63,47,110,54
2019,4,망원2동,98,48,110,54
2019,4,망원1동,86,50,110,54
2019,4,합정동,87,49,110,54
2019,4,서교동,83,47,110,54
2019,4,서강동,85,47,110,54
2019,4,신수동,110,56,110,54
2019,4,염리동,107,56,110,54
2019,4,대흥동,115,55,110,54
2019,4,용강동,109,53,110,54
2019,4,도화동,107,54,110,54
2019,4,공덕동,119,58,110,54
2019,4,아현동,111,54,110,54
2019,4,북가좌2동,109,53,110,54
2019,4,북가좌1동,94,49,110,54
2019,4,남가좌2동,105,54,110,54
2019,4,남가좌1동,125,63,110,54
2019,4,홍은2동,110,57,110,54
2019,4,홍은1동,121,59,110,54
2019,4,홍제2동,118,59,110,54
2019,4,홍제3동,121,62,110,54
2019,4,홍제1동,118,56,110,54
2019,4,연희동,108,55,110,54
2019,4,신촌동,111,51,110,54
2019,4,충현동,123,60,110,54
2019,4,북아현동,131,63,110,54
2019,4,천연동,121,58,110,54
2019,4,진관동,63,45,110,54
2019,4,수색동,155,69,110,54
2019,4,증산동,122,55,110,54
2019,4,신사2동,108,53,110,54
2019,4,신사1동,105,49,110,54
2019,4,역촌동,100,50,110,54
2019,4,응암3동,115,54,110,54
2019,4,응암2동,86,57,110,54
2019,4,응암1동,112,54,110,54
2019,4,대조동,106,52,110,54
2019,4,구산동,99,53,110,54
2019,4,갈현2동,94,50,110,54
2019,4,갈현1동,102,50,110,54
2019,4,불광2동,109,55,110,54
2019,4,불광1동,107,54,110,54
2019,4,녹번동,108,55,110,54
2019,4,상계10동,99,51,110,54
2019,4,상계9동,111,52,110,54
2019,4,상계8동,110,57,110,54
2019,4,상계6.7동,105,49,110,54
2019,4,상계5동,106,50,110,54
2019,4,상계3.4동,116,56,110,54
2019,4,상계2동,94,47,110,54
2019,4,상계1동,95,49,110,54
2019,4,중계2.3동,104,52,110,54
2019,4,중계4동,95,48,110,54
2019,4,중계1동,96,50,110,54
2019,4,중계본동,90,50,110,54
2019,4,하계2동,119,60,110,54
2019,4,하계1동,104,55,110,54
2019,4,공릉2동,92,52,110,54
2019,4,공릉1동,107,53,110,54
2019,4,월계3동,105,50,110,54
2019,4,월계2동,100,55,110,54
2019,4,월계1동,103,54,110,54
2019,4,방학3동,103,55,110,54
2019,4,방학2동,101,50,110,54
2019,4,방학1동,101,48,110,54
2019,4,쌍문4동,97,51,110,54
2019,4,쌍문3동,102,52,110,54
2019,4,쌍문2동,100,50,110,54
2019,4,쌍문1동,105,52,110,54
2019,4,도봉2동,104,50,110,54
2019,4,도봉1동,111,52,110,54
2019,4,창5동,100,49,110,54
2019,4,창4동,111,52,110,54
2019,4,창3동,107,53,110,54
2019,4,창2동,100,51,110,54
2019,4,창1동,98,50,110,54
2019,4,인수동,100,51,110,54
2019,4,우이동,103,53,110,54
2019,4,수유3동,104,49,110,54
2019,4,수유2동,104,52,110,54
2019,4,수유1동,116,53,110,54
2019,4,번3동,108,49,110,54
2019,4,번2동,110,53,110,54
2019,4,번1동,101,47,110,54
2019,4,삼각산동,91,50,110,54
2019,4,송천동,114,55,110,54
2019,4,송중동,100,51,110,54
2019,4,미아동,103,49,110,54
2019,4,삼양동,114,53,110,54
2019,4,석관동,125,55,110,54
2019,4,장위3동,123,65,110,54
2019,4,장위2동,139,60,110,54
2019,4,장위1동,122,58,110,54
2019,4,월곡2동,104,54,110,54
2019,4,월곡1동,120,51,110,54
2019,4,종암동,111,58,110,54
2019,4,길음2동,102,57,110,54
2019,4,길음1동,114,60,110,54
2019,4,정릉4동,105,56,110,54
2019,4,정릉3동,113,60,110,54
2019,4,정릉2동,115,61,110,54
2019,4,정릉1동,111,55,110,54
2019,4,보문동,116,54,110,54
2019,4,안암동,101,56,110,54
2019,4,돈암2동,106,51,110,54
2019,4,돈암1동,108,55,110,54
2019,4,동선동,98,50,110,54
2019,4,삼선동,106,54,110,54
2019,4,성북동,105,62,110,54
2019,4,신내2동,101,50,110,54
2019,4,신내1동,98,50,110,54
2019,4,망우3동,109,48,110,54
2019,4,망우본동,114,51,110,54
2019,4,묵2동,102,51,110,54
2019,4,묵1동,95,52,110,54
2019,4,중화2동,113,51,110,54
2019,4,중화1동,110,51,110,54
2019,4,상봉2동,108,51,110,54
2019,4,상봉1동,92,50,110,54
2019,4,면목3.8동,105,49,110,54
2019,4,면목7동,117,50,110,54
2019,4,면목본동,108,49,110,54
2019,4,면목5동,119,53,110,54
2019,4,면목4동,108,51,110,54
2019,4,면목2동,114,49,110,54
2019,4,이문2동,117,57,110,54
2019,4,이문1동,117,59,110,54
2019,4,휘경2동,99,53,110,54
2019,4,휘경1동,116,53,110,54
2019,4,회기동,94,49,110,54
2019,4,청량리동,159,61,110,54
2019,4,장안2동,108,49,110,54
2019,4,장안1동,116,51,110,54
2019,4,답십리2동,140,62,110,54
2019,4,답십리1동,111,56,110,54
2019,4,전농2동,124,53,110,54
2019,4,전농1동,110,56,110,54
2019,4,제기동,140,71,110,54
2019,4,용신동,122,57,110,54
2019,4,구의3동,117,55,110,54
2019,4,구의2동,105,56,110,54
2019,4,구의1동,114,50,110,54
2019,4,자양4동,101,52,110,54
2019,4,자양3동,99,52,110,54
2019,4,자양2동,110,52,110,54
